Country	Source 	year	men_sample_size	women_sample_soze
Brazil	Ipums	2010	"3,627,618.00"	"3,346,584.00"
India	Ipums	2004	"65,712.00"	"21,276.00"
Mexico	Ipums	2000	"3,848,028.00"	"2,913,775.00"
Dominican Republic	Ipums	2002	"413,009.00"	"411,823.00"
Jamaica	Ipums	2001	"99,662.00"	"105,517.00"
Panama	Ipums	2010	"107,933.00"	"78,574.00"
Puerto Rico	Ipums	2010	"14,068.00"	"14,647.00"
Trinadad and Tabago	Ipums	2000	"47,753.00"	"36,695.00"
Uruguay	Ipums	2006	"41,093.00"	"30,436.00"
Venezuela	Ipums	2001	"837,478.00"	"602,576.00"
South Africa	Ipums	2011	1323580	1304167
